countyTract,Offender Density,% under 18,% bachelor's,% female-headed HH,% household sizes > 4,median income,% w/o health ins.,poverty rate,% receiving food stamps
9517800,0.006533436,0.145243778,0.171846435,0.782051282,0.028419183,26646,0.264984227,0.368562644,0.04587156
9516800,0.004832291,0.080146232,0.068426197,0.559796438,0.015865385,36672,0.220843672,0.2293917,0.008915305
9517200,0.004307692,0.256153343,0.075955266,0.623684211,0.083333333,40615,0.236757822,0.26979781,0.020348837
9516900,0.012780961,0.282213773,0.093117409,0.542780749,0.120798319,26083,0.161423414,0.303460515,0.068720379
9517300,0.00093838,0.172813167,0.129277567,0.14797136,0.061129568,59266,0.133983287,0.105724116,0
9510702,0.003254149,0.298325291,0.176339286,0.837837838,0.074502248,34795,0.242653477,0.199869153,0.066302119
9513802,0.001723346,0.286308039,0.177669112,0.281611659,0.109178744,72400,0.115909887,0.032284007,0.011125238
95980802,0,0,0.180109991,0,0,0,0,0,0
957500,0.004091653,0.1579347,0.15075594,0.848360656,0.090243902,25114,0.118360071,0.366578014,0.044624746
957600,0.011022425,0.249433107,0.326139089,0.868131868,0.110849057,25987,0.266996292,0.337894337,0.038002172
957802,0.005272408,0.24783204,0.155049787,0.6,0.092901879,24794,0.139597315,0.272407733,0.043165468
957900,0.007969222,0.281173594,0.090797042,0.778597786,0.115858074,24160,0.212409167,0.419071173,0.128221245
958000,0.007774538,0.250255711,0.10979329,0.778145695,0.094063223,24447,0.197088068,0.332221481,0.013250195
958100,0.006449165,0.237966712,0.101768539,0.376910017,0.102771363,37708,0.180327869,0.190440061,0.065774805
958700,0.009957326,0.270691723,0.14898211,0.74,0.11840796,28504,0.141852771,0.217930377,0.018147087
9517400,0.004487659,0.252215657,0.151029137,0.351978172,0.0609375,39375,0.311683007,0.135377711,0.007556675
9517700,0.000770416,0.274652029,0.138148467,0.073051948,0.132043256,61592,0.117161716,0.062114274,0.034111311
9517600,0.002246273,0.23365814,0.204976911,0.22331048,0.093409445,77317,0.068811605,0.00796406,0.012145749
9518000,0.001283697,0.251646542,0.063235935,0.246376812,0.082414017,53681,0.162613536,0.110077022,0
95989100,0,0.384615385,0.143475572,0,0,0,0,0,0
95988300,0,0.137254902,0.10125969,0,0.088888889,0,0,0,0
958800,0.007035497,0.261799001,0.061440678,0.954624782,0.1042098,28623,0.232258065,0.228973457,0.011196641
959000,0.006262581,0.251529572,0.183193277,0.479262673,0.119648094,40383,0.231291118,0.160746812,0.041303083
959500,0.004069452,0.293799682,0.031619048,0.772644928,0.118167203,30819,0.222126684,0.321001088,0.045138889
959600,0.007859734,0.346713205,0.107535642,0.699834163,0.119565217,15682,0.293217746,0.495767836,0.036312849
9513801,0.000963948,0.278830536,0.079238095,0.124749833,0.09496124,65273,0.113177681,0.060711524,0.02115869
9510201,0.006286014,0.333520179,0.161441273,0.498575499,0.066582915,13681,0.181678608,0.522197558,0.098382749
9512802,0.001074402,0.209214092,0.09556314,0.134396355,0.080821039,63333,0.113950692,0.121592148,0.020080321
95989200,0,0,0.408542247,0,0,0,0,0,0
125880300,0.000508518,0.226044925,0.100543478,0.032850242,0.090128755,49189,0.109474854,0.124332571,0
125880298,0.001407955,0.234260615,0.031280077,0.115755627,0.090826521,38580,0.071743929,0.106853353,0.033837934
125880100,0.001187447,0.245644004,0.039881832,0.302,0.081260365,31593,0.190125276,0.197612186,0.015740741
45950200,0,0.232826187,0.038041102,0.129090909,0.096737908,36410,0.161245353,0.119409866,0.002624672
45950100,0,0.242364532,0.033278778,0.236666667,0.07793765,43796,0.143476168,0.126628452,0.017568517
45950300,0.001080205,0.244897959,0.075595727,0.151948052,0.072727273,36128,0.173801683,0.150911546,0.017834395
207470200,0.003418803,0.237699541,0.014613779,0.193006993,0.076530612,35250,0.194594595,0.258845013,0.033408834
11970200,0.001109632,0.283993869,0.03923445,0.057166529,0.144166158,32500,0.169839896,0.128239203,0.011070111
11970400,0.001349528,0.268656716,0.145601618,0.206806283,0.115194055,38971,0.150604276,0.135916359,0.025305778
11970100,0.001532861,0.264610914,0.242302544,0.052866716,0.125325239,39880,0.180511742,0.107455748,0.024987987
11970300,0.001296849,0.307470289,0.706231454,0.451081359,0.176066699,33730,0.312893603,0.231699452,0.026315789
187950400,0.024121296,0.246722983,0.395314058,0.111706197,0.107734807,43525,0.161965282,0.161214588,0.091458806
187950600,0.008978328,0.228117506,0.309278351,0.267423015,0.086795252,29722,0.171767029,0.271954674,0.019952115
187950700,0.010306482,0.231972198,0.093278464,0.011695906,0.095284872,50297,0.172839506,0.050079837,0.00550585
187950300,0.002295436,0.179506738,0.091358025,0.262390671,0.106022897,38161,0.141014429,0.180119437,0.017834395
187951100,0.006132989,0.24289937,0,0.152706186,0.069860896,35183,0.111796886,0.156759746,0.052568339
187951000,0.016129032,0.271847507,0.042071197,0.240082432,0.105652013,31338,0.16079264,0.189181614,0.02661462
187950800,0.007180157,0.246055227,0.090909091,0.204707561,0.071837982,34352,0.098155769,0.19882564,0.017433234
187950102,0.002422374,0.231269675,0.039291217,0.119845361,0.094030639,55000,0.114591921,0.083843191,0.004772004
187950902,0.00216187,0.133165125,0.019836639,0.045405405,0.073239437,37857,0.065704331,0.14001938,0.02375
187950101,0.005358339,0.215332582,0.114893617,0.151486098,0.092997199,35814,0.091858038,0.185979013,0.007650273
187950901,0.005773196,0.191422122,0.041322314,0.25,0.0546875,43205,0.105936073,0.158106747,0.061368209
101960100,0.009775525,0.238907456,0.117774176,0.125483693,0.106481481,55581,0.104017548,0.107441061,0.003070624
101960200,0.003635629,0.235316773,0.117370892,0.110931174,0.09785322,43333,0.16487588,0.129728732,0.020725389
101960300,0.004324324,0.261616162,0.572778828,0.124240751,0.110159119,51352,0.088929456,0.080346746,0.017021277
101960900,0.003892216,0.256529662,0.597864769,0.172985782,0.115733333,50101,0.147799386,0.118325836,0.068837898
101960700,0.000586396,0.301794177,0.389784946,0.195775792,0.112061206,43750,0.105795951,0.129720211,0.012164217
101980000,0,0.262411348,0.485333333,0.077683616,0.100323625,37358,0.012924071,0.043703278,0
101960400,0.001196649,0.08075103,0.535053763,0.246268657,0.049014385,19975,0.13404951,0.454145078,0.009657594
101960500,0.001746115,0.23633678,0.647504738,0.23962595,0.081646424,51943,0.093123829,0.18323825,0.010250569
101960600,0.00319081,0.198876404,0.60707804,0.387617766,0.06181584,26659,0.177438659,0.291689299,0.028744327
25950100,0.00254381,0.253487581,0.671859786,0.192139738,0.094196804,34458,0.144014085,0.171149144,0.017568517
25950200,0.005609224,0.255821126,0.222393822,0.151102464,0.106956172,42674,0.11936255,0.153711373,0.002624672
207470300,0.0047759,0.208333333,0.071707953,0.24916574,0.065507246,36176,0.189980159,0.211250604,0.020858164
207470400,0.005759737,0.226627982,0.08004158,0.237241379,0.098441345,35746,0.169502836,0.19949424,0.0152207
207470600,0.004198639,0.222624799,0.167490729,0.11954993,0.067910091,39982,0.174458612,0.07952509,0.023727138
207470800,0.000954502,0.226178701,0.029283217,0.031088083,0.080631754,65443,0.116651556,0.023862552,0.006661116
207470700,0.001909855,0.236417034,0.0960199,0.12633452,0.077324066,32434,0.132188498,0.254204145,0.026046512
207470500,0.00698577,0.24069834,0.130265716,0.415213946,0.062742561,27282,0.135985748,0.259773371,0.043395022
207470100,0.00203832,0.229743858,0.684552142,0.235083532,0.079691517,32547,0.245252741,0.159190372,0.022576361
115490200,0.001411233,0.262173913,0.737529691,0.123106061,0.106870229,38185,0.134068731,0.139789858,0.031559406
115490300,0.002418705,0.239333333,0.793844651,0.137614679,0.091428571,42304,0.065551383,0.100343857,0.056277056
115490100,0.000288684,0.235496841,0.827558092,0.01659751,0.097931034,44511,0.160798122,0.150341686,0.031818182
115490400,0.002786378,0.250913925,0.657732973,0.176573427,0.0875,31742,0.1171875,0.21673138,0.082155477
115490500,0.001167951,0.247141276,0.175811209,0.178961749,0.076388889,35976,0.112665685,0.126473741,0.016324063
67950200,0,0.230824373,0.123671498,0.06381323,0.099590723,32481,0.239456257,0.203267412,0.002624672
67950100,0,0.217414673,0.047736626,0.098310292,0.085732984,31673,0.145865835,0.214013709,0.017568517
67950500,0.001273885,0.21994068,0.141737649,0.26440678,0.075268817,26265,0.137715571,0.266792047,0
149480200,0.003041363,0.234075724,0.617043847,0.232723577,0.08391987,24371,0.211641344,0.229033631,0.025468525
149480300,0,0.193035579,0.674821611,0.04978355,0.081322609,26349,0.149880096,0.217243976,0.032724505
149480100,0,0.230728194,0.462159435,0.132911392,0.082639334,30469,0.208772904,0.27482324,0.032162505
7950100,0.002513966,0.151435407,0.292035398,0.119771863,0.069198312,33098,0.139474658,0.232578784,0.017568517
7950200,0.008695652,0.229611552,0.077889447,0.073694985,0.086676573,47994,0.105154212,0.069441704,0.002624672
7950400,0.002853881,0.29435758,0.104494382,0.144157815,0.074885845,39567,0.161963664,0.141040922,0.091458806
7950300,0.000675128,0.341091715,0.130896226,0.08778626,0.171602787,51924,0.26396348,0.253765637,0.017834395
7950500,0.003566879,0.248185371,0.30449391,0.058359621,0.092413793,42222,0.161501377,0.171182659,0
7950600,0.001856148,0.2587099,0.351441242,0.342210386,0.069958848,36964,0.107296137,0.127086882,0.019952115
7950700,0.006430868,0.256176471,0.430794886,0.349019608,0.078484438,30653,0.172072295,0.23364486,0.00550585
85470100,0,0.204589528,0.267557252,0.153550864,0.08252063,22647,0.290395847,0.195759717,0.022576361
85470300,0.000734754,0.139309274,0.317757009,0.132275132,0.049877351,30202,0.123371925,0.087514146,0.020858164
85470500,0.000359454,0.170121335,0.489945862,0.247524752,0.060606061,28067,0.171365395,0.169077307,0.043395022
16530305,0.001678255,0.250334509,0.123762376,0.131933226,0.085679685,71163,0.076998289,0.037463977,0.036036036
16530001,0.000784929,0.2531351,0.307529162,0.262343843,0.076873593,68782,0.075521521,0.121064418,0.018703644
16530101,0.004026014,0.23356293,0.268961657,0.061662198,0.092029581,82330,0.078120232,0.055434444,0.006097561
16530209,0.001316829,0.280805231,0.142281879,0.206349206,0.097100472,63243,0.092271905,0.053832959,0.010067114
16530103,0.001919386,0.233550792,0.212906504,0.184210526,0.084179971,64867,0.043672627,0.052364522,0
219820102,0.001074499,0.258440323,0.226554268,0.251220836,0.108822625,45347,0.080639555,0.147237741,0.04937519
219820103,0.001550147,0.265509032,0.086250796,0.186350148,0.112495281,46039,0.097503467,0.157649977,0.025841817
219820101,0.001705757,0.262437811,0.129257642,0.188838782,0.113924051,50443,0.119772404,0.132352941,0.005432674
219820202,0.000266347,0.236680874,0.120336311,0.098701299,0.103533569,57917,0.08298991,0.063282707,0.007217611
219820201,0.000883392,0.171480144,0.088381331,0.338600451,0.070575461,57411,0.092347157,0.102031802,0
16530306,0.00028393,0.334474886,0.142107934,0.086222222,0.152815013,116964,0.040266593,0.029244747,0.022201665
16530201,0.00129199,0.261419923,0.110549589,0.081578947,0.082232012,77625,0.082942097,0.058139535,0.026431718
16530600,0.002371652,0.22476936,0.122689076,0.133514986,0.083040113,64052,0.05511811,0.05094919,0.016984402
16530401,0.001083658,0.293802601,0.105786855,0.059782609,0.11589404,82031,0.048050414,0.017771998,0
16530700,0.001175433,0.223240686,0.156692407,0.175879397,0.080983369,59744,0.07963374,0.101325479,0.012472487
16530500,0.001817521,0.250629934,0.107526882,0.246621622,0.081300813,68194,0.0936871,0.114285714,0
