id,address,city,state,zip,longitude,latitude,state,county,tract
32,9301 State Line Rd, Kansas City, MO,64114,-94.607991,38.96184,29,95,9900
33,12501 State Line Rd, Kansas City, MO,64145,-94.60793,38.90296,29,95,13407
34,330 N Gore Ave, Saint Louis, MO,63119,-90.36283,38.598143,29,189,219300
35,330 N Gore Ave, Saint Louis, MO,63119,-90.36283,38.598143,29,189,219300
36,501 Bacon Ave, Saint Louis, MO,63119,-90.368538,38.599987,29,189,219300
37,16 W Glendale Rd, Saint Louis, MO,63119,-90.359559,38.576387,29,189,219400
38,8749 Watson Rd, Saint Louis, MO,63119,-90.363125,38.564222,29,189,219400
39,680 W Lockwood Ave, Saint Louis, MO,63119,-90.375861,38.584412,29,189,219400
40,6737 S Rock Hill Rd, Saint Louis, MO,63123,-90.333328,38.551556,29,189,219700
41,602 Summit Rd, Fenton, MO,63026,-90.470954,38.506093,29,189,221424
42,1500 San Simeon Way, Fenton, MO,63026,-90.463302,38.521755,29,189,221424
43,393 W Old Watson Rd, Saint Louis, MO,63119,-90.367664,38.563196,29,189,221900
44,341 S Sappington Rd, Saint Louis, MO,63122,-90.385586,38.576966,29,189,221900
45,1440 Ables Rd, Sikeston, MO,63801,-89.563115,36.876725,29,201,780600
46,300 S Main St, Brookfield, MO,64628,-93.072547,39.78198,29,115,490400
47,1114 Trenton St, Chillicothe, MO,64601,-93.549689,39.798186,29,117,480300
48,1113 Broadway, Hannibal, MO,63401,-91.365853,39.705373,29,127,960800
49,1317 Lyon St, Hannibal, MO,63401,-91.368583,39.702784,29,127,960800
50,1110 Jones Ave, Eldon, MO,65026,-92.565949,38.351906,29,131,962900
51,800 University Dr, Maryville, MO,64468,-94.881515,40.351167,29,147,470300
52,10158 Highway C, Frohna, MO,63748,-89.619803,37.649872,29,157,470500
53,5901 NW Waukomis Dr, Kansas City, MO,64151,-94.608051,39.201244,29,165,30001
54,7112 N Overland Dr, Kansas City, MO,64151,-94.640489,39.223875,29,165,30001
55,2550 Elm St, St Charles, MO,63301,-90.500898,38.796858,29,183,310302
56,3880 Shady Springs Ln, St Peters, MO,63301,-90.570107,38.801161,29,183,310801
57,3866 S Old Highway 94, St Peters, MO,63304,-90.580356,38.745209,29,183,311147
58,8750 Veterans Memorial Pkwy, O'Fallon, MO,63366,-90.705965,38.798518,29,183,311712
59,12622 State Route O, Sainte Genevieve, MO,63670,-90.22299,37.941723,29,186,960300
60,11822 Zell Rd, Sainte Genevieve, MO,63670,-90.143583,37.952072,29,186,960300
61,1650 Redman Rd, Saint Louis, MO,63138,-90.2198,38.785614,29,189,210702
62,1720 Redman Rd, Saint Louis, MO,63138,-90.223878,38.78563,29,189,210702
63,2115 Chambers Rd, Saint Louis, MO,63136,-90.256838,38.749319,29,189,211801
64,9135 Shelley Ave, Saint Louis, MO,63114,-90.358107,38.703951,29,189,214400
65,11211 Schuetz Rd, Saint Louis, MO,63146,-90.417675,38.68462,29,189,215004
66,1275 Boland Pl, Richmond Heights, MO,63117,-90.327435,38.630798,29,189,216700
67,930 S Pearl Ave, Joplin, MO,64801,-94.517089,37.081266,29,97,11000
68,931 Byers Ave, Joplin, MO,64801,-94.518129,37.081298,29,97,11000
69,802 Byers Ave, Joplin, MO,64801,-94.518195,37.082856,29,97,11000
